THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
4618505,AUSTRALIA,RAAF,1970-04-04,363282,SEADAB,B-57,PHAN RANG,10.528055,106.310555,,4,1055.0,,,0,B57,B57,,,MP    41,17,5.0,CLOSE AIR SUPPORT,5024,1,,D,2RAF,,,SOUTH VIETNAM,,103141N1061838E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    41,XS,26851681,KINETIC,-1,-1,,,,1055.0,4800
4618594,AUSTRALIA,RAAF,1970-03-28,363371,SEADAB,B-57,PHAN RANG,10.728888,106.270277,,0,944.0,,,0,B57,B57,,,MP    41,21,5.0,CLOSE AIR SUPPORT,5215,1,,D,2RAF,,,SOUTH VIETNAM,,104344N1061613E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    41,XS,26851770,KINETIC,-1,-1,,,,944.0,0
4618952,AUSTRALIA,RAAF,1970-03-12,363729,SEADAB,B-57,PHAN RANG,9.754444,106.185277,,0,1020.0,,,0,B57,B57,,,MGP11,25,5.0,CLOSE AIR SUPPORT,5001,1,,D,2RAF,,,SOUTH VIETNAM,,094516N1061107E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MGP11,XR,26852128,KINETIC,-1,-1,,,,1020.0,0
4619152,AUSTRALIA,RAAF,1971-05-13,363929,SEADAB,B-57,PHAN RANG,14.639444,108.6825,,6,725.0,,,0,B57,B57,,,MP    91,17,5.0,CLOSE AIR SUPPORT,6119,1,,D,2RAF,,,SOUTH VIETNAM,,143822N1084057E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    91,BS,26852328,KINETIC,-1,-1,,,,725.0,49200
4619158,AUSTRALIA,RAAF,1970-10-10,363935,SEADAB,B-57,PHAN RANG,10.591944,105.850277,,6,1315.0,,,0,B57,B57,,,MP    71,15,5.0,CLOSE AIR SUPPORT,6103,1,,D,2RAF,,,SOUTH VIETNAM,,103531N1055101E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    71,WS,26852334,KINETIC,-1,-1,,,,1315.0,49200
4619241,AUSTRALIA,RAAF,1970-04-04,364018,SEADAB,B-57,PHAN RANG,10.750833,107.548611,,2,1150.0,,,0,B57,B57,,,MP    61,18,5.0,CLOSE AIR SUPPORT,5226,1,,D,2RAF,,,SOUTH VIETNAM,,104503N1073255E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    61,YS,26852417,KINETIC,-1,-1,,,,1150.0,16400
4619666,AUSTRALIA,RAAF,1970-04-30,370684,SEADAB,B-57,PHAN RANG,9.445277,105.109444,,0,940.0,,,0,B57,B57,,,MP    31,19,5.0,CLOSE AIR SUPPORT,5006,1,,D,2RAF,,,SOUTH VIETNAM,,092643N1050634E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    31,WT,26859083,KINETIC,-1,-1,,,DAMAGED,940.0,0
4619835,AUSTRALIA,RAAF,1971-10-29,370853,SEADAB,A-4,TAN SON NHUT,,,,152,800.0,PASSENGERS,,0,A4,A4,,,,50,46.0,COMBT TROOP CARRYING,0952,12,,D,RAF,,,SOUTH VIETNAM,,,,,UNIT: RAF - CALLSIGN:,,26859252,NONKINETIC,-1,-1,,,,800.0,0
4619850,AUSTRALIA,RAAF,1971-12-31,370868,SEADAB,A-4,TAN SON NHUT,,,,72,800.0,CARGO (TONS),,0,A4,A4,,,,40,47.0,COMBT CARGO CARRYING,0942,5,,D,RAF,,,SOUTH VIETNAM,,,,,UNIT: RAF - CALLSIGN:,,26859267,NONKINETIC,-1,-1,,,,800.0,0
4620015,AUSTRALIA,RAAF,1971-03-07,371033,SEADAB,A-4,TAN SON NHUT,,,,75,800.0,CARGO (TONS),,0,A4,A4,,,,0,47.0,COMBT CARGO CARRYING,7571,3,,D,RAF,,,SOUTH VIETNAM,,,,,UNIT: RAF - CALLSIGN:,,26859432,NONKINETIC,-1,-1,,,,800.0,0
4620114,AUSTRALIA,RAAF,1970-09-15,371132,SEADAB,B-57,PHAN RANG,10.200555,106.3125,,0,900.0,,,0,B57,B57,,,MP    21,16,5.0,CLOSE AIR SUPPORT,6198,1,,D,2RAF,,,SOUTH VIETNAM,,101202N1061845E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    21,XS,26859531,KINETIC,-1,-1,,,,900.0,0
4620159,AUSTRALIA,RAAF,1970-07-16,371177,SEADAB,B-57,PHAN RANG,9.391111,104.899722,,0,835.0,,,0,B57,B57,,,MP    81,19,5.0,CLOSE AIR SUPPORT,5039,1,,D,2RAF,,,SOUTH VIETNAM,,092328N1045359E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    81,VR,26859576,KINETIC,-1,-1,,,,835.0,0
4620174,AUSTRALIA,RAAF,1970-05-09,371192,SEADAB,A-4,TAN SON NHUT,,,,0,800.0,,,0,A4,A4,,,,0,97.0,OTHER,7202,14,,D,RAF,,,SOUTH VIETNAM,,,,,UNIT: RAF - CALLSIGN:,,26859591,NONKINETIC,-1,-1,,,,800.0,0
4620202,AUSTRALIA,RAAF,1970-07-18,371220,SEADAB,B-57,PHAN RANG,9.653611,105.6025,,0,840.0,,,0,B57,B57,,,MP    11,15,5.0,CLOSE AIR SUPPORT,5009,1,,D,2RAF,,,SOUTH VIETNAM,,093913N1053609E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    11,WT,26859619,KINETIC,-1,-1,,,DESTROYED,840.0,0
4620258,AUSTRALIA,RAAF,1971-04-18,371276,SEADAB,B-57,PHAN RANG,15.686111,108.110555,,0,335.0,,,0,B57,B57,,,MP    51,14,5.0,CLOSE AIR SUPPORT,6106,1,,D,2RAF,,,SOUTH VIETNAM,,154110N1080638E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    51,BU,26859675,KINETIC,-1,-1,,,DESTROYED,335.0,0
4620480,AUSTRALIA,RAAF,1970-06-17,371498,SEADAB,B-57,PHAN RANG,10.179166,106.285555,,0,925.0,,,0,B57,B57,,,MP    21,14,5.0,CLOSE AIR SUPPORT,5000,1,,D,2RAF,,,SOUTH VIETNAM,,101045N1061708E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    21,XS,26859897,KINETIC,-1,-1,,,,925.0,0
4620528,AUSTRALIA,RAAF,1970-10-08,371546,SEADAB,B-57,PHAN RANG,11.656388,106.355277,,0,1800.0,,,0,B57,B57,,,MP    71,16,5.0,CLOSE AIR SUPPORT,6189,1,,D,2RAF,,,SOUTH VIETNAM,,113923N1062119E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    71,XT,26859945,KINETIC,-1,-1,,,,1800.0,0
4620543,AUSTRALIA,RAAF,1970-03-31,371561,SEADAB,B-57,PHAN RANG,10.618333,107.413333,,0,1135.0,,,0,B57,B57,,,MP    61,15,5.0,CLOSE AIR SUPPORT,5226,1,,D,2RAF,,,SOUTH VIETNAM,,103706N1072448E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    61,YS,26859960,KINETIC,-1,-1,,,DAMAGED,1135.0,0
4620647,AUSTRALIA,RAAF,1970-08-04,371665,SEADAB,B-57,PHAN RANG,9.622222,105.4675,,0,1010.0,,,0,B57,B57,,,MP    41,18,5.0,CLOSE AIR SUPPORT,6306,1,,D,2RAF,,,SOUTH VIETNAM,,093720N1052803E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    41,WT,26860064,KINETIC,-1,-1,,,DESTROYED,1010.0,0
4620777,AUSTRALIA,RAAF,1970-10-09,371795,SEADAB,B-57,PHAN RANG,10.222777,104.557222,,0,913.0,,,0,B57,B57,,,MP    41,15,5.0,CLOSE AIR SUPPORT,6104,1,,D,2RAF,,,SOUTH VIETNAM,,101322N1043326E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    41,VS,26860194,KINETIC,-1,-1,,,DAMAGED,913.0,0
4620813,AUSTRALIA,RAAF,1971-04-13,371831,SEADAB,B-57,PHAN RANG,14.885277,108.518055,,0,145.0,,,0,B57,B57,,,MAGPIE11,36,5.0,CLOSE AIR SUPPORT,6117,1,,D,2RAF,,,SOUTH VIETNAM,,145307N1083105E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MAGPIE11,ZB,26860230,KINETIC,-1,-1,,,,145.0,0
