,THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
2302393,2303443,UNITED STATES OF AMERICA,USMC,1969-09-11,1365593,CACTA6669,A-6,DANANG,16.633,106.417,ROAD,0,1509.0,,,0,A6A,A6,,,,12,3.0,AIR INTERDICTION,MX034,1,STEEL TIGER - SELF,N,M01225,CLEAR,PREBRIEFED TGT,LAOS,,16633N106417E,DD.DDDN DDD.DDDE,6008N,MISSION: SL1032 - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: RTE AREA F (OUT-OF-COUNTRY MISSIONS),XC,24431144,KINETIC,0,4,,,,1544.0,-1
4275634,4279276,UNITED STATES OF AMERICA,USAF,1970-06-01,1513113,SEADAB,C-7,TAN SON NHUT,,,,1797,800.0,CARGO (TONS),,0,C7,C7,,,,0,47.0,COMBT CARGO CARRYING,7452,99,,D,834ARD,,,SOUTH VIETNAM,,,,,UNIT: 834ARD - CALLSIGN:,,28001512,NONKINETIC,-1,-1,,,,800.0,0
8475,8500,UNITED STATES OF AMERICA,USAF,1971-09-22,1123127,SEADAB,F-4,DANANG,,,,1,2200.0,CBU24 AN PR/MT (BLU26),,1388,F4,F4,,,GUN   84,65,35.0,ESCORT/COVER,7707,2,,N,366TFW,,,LAOS,,,,,UNIT: 366TFW - CALLSIGN: GUN   84,,27611526,NONKINETIC,-1,-1,,,,2200.0,8300
4328272,4332038,UNITED STATES OF AMERICA,USAF,1972-03-01,729354,SEADAB,F-4,DANANG,,,,3,1530.0,M36E2 HIGH SPD M36,,536,F4,F4,,,GUN   96,73,1.0,STRIKE,5407,2,,N,366TFW,,,LAOS,,,,,UNIT: 366TFW - CALLSIGN: GUN   96,,27217753,KINETIC,-1,-1,,,,1530.0,27000
2293518,2294568,UNITED STATES OF AMERICA,USAF,1966-09-06,1824612,CACTA6669,F-100,PHAN RANG,11.61449533,108.7433388,AREA\DEPOT,0,155.0,750LB BLU-1/27,,694,F100D,F100,,,,46,6.0,DIRECT AIR SUPPORT,JL016,3,IN COUNTRY - VS,D,JAJKK0,OVERCAST,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PBN543848,##ABC111222,2009N,MISSION: VS9&1947 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),BN,24801010,KINETIC,0,0,,,,215.0,-1
540479,541520,UNITED STATES OF AMERICA,USAF,1970-05-24,623023,CACTA6570,RF-4,UDORN AB,16.658,106.167,AREA\DEPOT,0,0.0,,,0,RF4C,RF4,,,,37,20,PHOTO RECCE,JS022,1,YANKEE TEIM - FALCON,D,JBFDQ0,CLEAR,,LAOS,,16658N106167E,DD.DDDN DDD.DDDE,,MISSION: YT3360 - CONTROL_TYPE:  - RTCOR: ST/E,XC,26440704,NONKINETIC,0,0,,,,0.0,-1
149852,150239,UNITED STATES OF AMERICA,USAF,1970-12-11,51900,SEADAB,AC-119,DANANG,,,,0,2005.0,,,0,AC119K,AC119,,,BUCKY,33,4.0,ARMED RECCE,1115,1,,N,18SOS,,,LAOS,,,,,UNIT: 18SOS - CALLSIGN: BUCKY,,26540211,KINETIC,-1,-1,,,,2005.0,0
4087099,4090304,UNITED STATES OF AMERICA,USAF,1970-08-13,525738,SEADAB,EC-121,KORAT,,,,0,1.0,,,0,EC121,EC121,,,,13,50.0,ADMINISTRATIVE,7715,2,,D,554RS,,,THAILAND,,,,,UNIT: 554RS - CALLSIGN:,,27014137,NONKINETIC,-1,-1,,,,1.0,0
2471817,2472848,UNITED STATES OF AMERICA,USN,1966-12-01,1568295,CACTA6669,EA-1,WESTPAC 42,,,UNKNOWN\UNIDENTIFIED,0,0.0,,,0,EA1F,EA1,,,,30,39.0,ECM,D0009,1,ROLLING THUN - ROLLING THUND,D,N09289,CLEAR,PREBRIEFED TGT,NORTH VIETNAM,,,,,MISSION: RT51C146 - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: UNKNOWN,,24600831,NONKINETIC,0,0,,,,0.0,-1
2477717,2478748,UNITED STATES OF AMERICA,USAF,1967-08-30,1575560,CACTA6669,F-4,UBON AB,22.039444,104.508055,RAILROAD,44,502.0,500LB GP MK-82,,500,F4D,F4,,,,0,1.0,STRIKE,JV005,4,ROLLING THUN - ROLLING THUND,D,JAJJZ0,BROKEN,PREBRIEFED TGT,NORTH VIETNAM,,220222N1043029E,DDMMSSN DDDMMSSE,9999N,MISSION: RT57A39 - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: RTE AREA 5 (OUT-OF-COUNTRY MISSIONS),VK,24606735,KINETIC,0,0,,,,503.0,-1
